cveID,vendorProject,product,vulnerabilityName,dateAdded,shortDescription,requiredAction,dueDate,knownRansomwareCampaignUse,notes,cwes
CVE-2021-44207,"Acclaim Systems",USAHERDS,"Acclaim Systems USAHERDS Use of Hard-Coded Credentials Vulnerability ",2024-12-23,"Acclaim Systems USAHERDS contains a hard-coded credentials vulnerability that could allow an attacker to achieve remote code execution on the system that runs the application. The MachineKey must be obtained via a separate vulnerability or other channel.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable. Please contact the product developer for support and vulnerability mitigation.",2025-01-13,Unknown,"https://www.acclaimsystems.com/#contact ; https://www.tnatc.org/#contact ; https://nvd.nist.gov/vuln/detail/CVE-2021-44207",CWE-798
CVE-2021-40407,Reolink,"RLC-410W IP Camera","Reolink RLC-410W IP Camera OS Command Injection Vulnerability ",2024-12-18,"Reolink RLC-410W IP cameras contain an authenticated OS command injection vulnerability in the device network settings functionality.","The impacted product could be end-of-life (EoL) and/or end-of-service (EoS). Users should discontinue product utilization if a current mitigation is unavailable.",2025-01-08,Unknown,"https://reolink.com/product-eol/ ; https://reolink.com/download-center/ ; https://nvd.nist.gov/vuln/detail/CVE-2021-40407",CWE-78
CVE-2021-41277,Metabase,Metabase,"Metabase GeoJSON API Local File Inclusion Vulnerability",2024-11-12,"Metabase contains a local file inclusion vulnerability in the custom map support in the API to read GeoJSON formatted data.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-12-03,Unknown,"https://github.com/metabase/metabase/security/advisories/GHSA-w73v-6p7p-fpfr ; https://nvd.nist.gov/vuln/detail/CVE-2021-41277",CWE-200
CVE-2021-40655,D-Link,"DIR-605 Router","D-Link DIR-605 Router Information Disclosure Vulnerability",2024-05-16,"D-Link DIR-605 routers contain an information disclosure vulnerability that allows attackers to obtain a username and password by forging a post request to the /getcfg.php page. ","This vulnerability affects legacy D-Link products. All associated hardware revisions have reached their end-of-life (EOL) or end-of-service (EOS) life cycle and should be retired and replaced per vendor instructions.",2024-06-06,Unknown,"https://legacy.us.dlink.com/pages/product.aspx?id=2b09e95d90ff4cb38830ecc04c89cee5; https://nvd.nist.gov/vuln/detail/CVE-2021-40655",CWE-863
CVE-2021-44529,Ivanti,"Endpoint Manager Cloud Service Appliance (EPM CSA)","Ivanti Endpoint Manager Cloud Service Appliance (EPM CSA) Code Injection Vulnerability ",2024-03-25,"Ivanti Endpoint Manager Cloud Service Appliance (EPM CSA) contains a code injection vulnerability that allows an unauthenticated user to execute malicious code with limited permissions (nobody).","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-04-15,Unknown,"https://forums.ivanti.com/s/article/SA-2021-12-02?language=en_US; https://nvd.nist.gov/vuln/detail/CVE-2021-44529",CWE-94
CVE-2021-44026,Roundcube,"Roundcube Webmail","Roundcube Webmail SQL Injection Vulnerability",2023-06-22,"Roundcube Webmail is vulnerable to SQL injection via search or search_params.","Apply updates per vendor instructions.",2023-07-13,Unknown,"https://roundcube.net/news/2021/11/12/security-updates-1.4.12-and-1.3.17-released; https://nvd.nist.gov/vuln/detail/CVE-2021-44026",CWE-89
CVE-2021-45046,Apache,Log4j2,"Apache Log4j2 Deserialization of Untrusted Data Vulnerability",2023-05-01,"Apache Log4j2 contains a deserialization of untrusted data vulnerability due to the incomplete fix of CVE-2021-44228, where the Thread Context Lookup Pattern is vulnerable to remote code execution in certain non-default configurations.","Apply updates per vendor instructions.",2023-05-22,Known,"https://logging.apache.org/log4j/2.x/security.html; https://nvd.nist.gov/vuln/detail/CVE-2021-45046",CWE-917
CVE-2021-4034,"Red Hat",Polkit,"Red Hat Polkit Out-of-Bounds Read and Write Vulnerability",2022-06-27,"The Red Hat polkit pkexec utility contains an out-of-bounds read and write vulnerability that allows for privilege escalation with administrative rights.","Apply updates per vendor instructions.",2022-07-18,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2021-4034,CWE-787
CVE-2021-41357,Microsoft,Win32k,"Microsoft Win32k Privilege Escalation Vulnerability",2022-04-25,"Microsoft Win32k contains an unspecified vulnerability that allows for privilege escalation.","Apply updates per vendor instructions.",2022-05-16,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2021-41357,
CVE-2021-40450,Microsoft,Win32k,"Microsoft Win32k Privilege Escalation Vulnerability",2022-04-25,"Microsoft Win32k contains an unspecified vulnerability that allows for privilege escalation.","Apply updates per vendor instructions.",2022-05-16,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2021-40450,
CVE-2021-42287,Microsoft,"Active Directory","Microsoft Active Directory Domain Services Privilege Escalation Vulnerability",2022-04-11,"Microsoft Active Directory Domain Services contains an unspecified vulnerability that allows for privilege escalation.","Apply updates per vendor instructions.",2022-05-02,Known,https://nvd.nist.gov/vuln/detail/CVE-2021-42287,CWE-269
CVE-2021-42278,Microsoft,"Active Directory","Microsoft Active Directory Domain Services Privilege Escalation Vulnerability",2022-04-11,"Microsoft Active Directory Domain Services contains an unspecified vulnerability that allows for privilege escalation.","Apply updates per vendor instructions.",2022-05-02,Known,https://nvd.nist.gov/vuln/detail/CVE-2021-42278,CWE-20
CVE-2021-45382,D-Link,"Multiple Routers","D-Link Multiple Routers Remote Code Execution Vulnerability",2022-04-04,"A remote code execution vulnerability exists in all series H/W revisions routers via the DDNS function in ncc2 binary file.","The impacted product is end-of-life and should be disconnected if still in use.",2022-04-25,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2021-45382,CWE-78
CVE-2021-42237,Sitecore,XP,"Sitecore XP Remote Command Execution Vulnerability",2022-03-25,"Sitcore XP contains an insecure deserialization vulnerability which can allow for remote code execution.","Apply updates per vendor instructions.",2022-04-15,Known,https://nvd.nist.gov/vuln/detail/CVE-2021-42237,CWE-502
