cveID,vendorProject,product,vulnerabilityName,dateAdded,shortDescription,requiredAction,dueDate,knownRansomwareCampaignUse,notes,cwes
CVE-2023-2533,PaperCut,NG/MF,"PaperCut NG/MF Cross-Site Request Forgery (CSRF) Vulnerability",2025-07-28,"PaperCut NG/MF contains a cross-site request forgery (CSRF) vulnerability, which, under specific conditions, could potentially enable an attacker to alter security settings or execute arbitrary code. ","Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-08-18,Unknown,"https://www.papercut.com/kb/Main/SecurityBulletinJune2023 ; https://nvd.nist.gov/vuln/detail/CVE-2023-2533",CWE-352
CVE-2023-20118,Cisco,"Small Business RV Series Routers","Cisco Small Business RV Series Routers Command Injection Vulnerability",2025-03-03,"Multiple Cisco Small Business RV Series Routers contains a command injection vulnerability in the web-based management interface. Successful exploitation could allow an authenticated, remote attacker to gain root-level privileges and access unauthorized data.","Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-03-24,Unknown,"https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-sbr042-multi-vuln-ej76Pke5 ; https://nvd.nist.gov/vuln/detail/CVE-2023-20118",CWE-77
CVE-2023-28461,"Array Networks ","AG/vxAG ArrayOS","Array Networks AG and vxAG ArrayOS Missing Authentication for Critical Function Vulnerability",2024-11-25,"Array Networks AG and vxAG ArrayOS contain a missing authentication for critical function vulnerability that allows an attacker to read local files and execute code on the SSL VPN gateway.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-12-16,Known,"https://support.arraynetworks.net/prx/001/http/supportportal.arraynetworks.net/documentation/FieldNotice/Array_Networks_Security_Advisory_for_Remote_Code_Execution_Vulnerability_AG.pdf ; https://nvd.nist.gov/vuln/detail/CVE-2023-28461",CWE-306
CVE-2023-25280,D-Link,"DIR-820 Router","D-Link DIR-820 Router OS Command Injection Vulnerability",2024-09-30,"D-Link DIR-820 routers contain an OS command injection vulnerability that allows a remote, unauthenticated attacker to escalate privileges to root via a crafted payload with the ping_addr parameter to ping.ccp.","The impacted product is end-of-life (EoL) and/or end-of-service (EoS). Users should discontinue utilization of the product.",2024-10-21,Unknown,"https://supportannouncement.us.dlink.com/security/publication.aspx?name=SAP10358 ; https://nvd.nist.gov/vuln/detail/CVE-2023-25280",CWE-78
CVE-2023-24955,Microsoft,"SharePoint Server","Microsoft SharePoint Server Code Injection Vulnerability",2024-03-26,"Microsoft SharePoint Server contains a code injection vulnerability that allows an authenticated attacker with Site Owner privileges to execute code remotely.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-04-16,Known,"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24955;  https://nvd.nist.gov/vuln/detail/CVE-2023-24955",CWE-94
CVE-2023-21237,Android,Pixel,"Android Pixel Information Disclosure Vulnerability ",2024-03-05,"Android Pixel contains a vulnerability in the Framework component, where the UI may be misleading or insufficient, providing a means to hide a foreground service notification. This could enable a local attacker to disclose sensitive information.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-03-26,Unknown,"https://source.android.com/docs/security/bulletin/pixel/2023-06-01;  https://nvd.nist.gov/vuln/detail/CVE-2023-21237",CWE-200
CVE-2023-29360,Microsoft,"Streaming Service","Microsoft Streaming Service Untrusted Pointer Dereference Vulnerability",2024-02-29,"Microsoft Streaming Service contains an untrusted pointer dereference vulnerability that allows for privilege escalation, enabling a local attacker to gain SYSTEM privileges.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-03-21,Unknown,"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-29360 ;https://nvd.nist.gov/vuln/detail/CVE-2023-29360",CWE-822
CVE-2023-22527,Atlassian,"Confluence Data Center and Server","Atlassian Confluence Data Center and Server Template Injection Vulnerability",2024-01-24,"Atlassian Confluence Data Center and Server contain an unauthenticated OGNL template injection vulnerability that can lead to remote code execution.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-02-14,Known,"https://confluence.atlassian.com/security/cve-2023-22527-rce-remote-code-execution-vulnerability-in-confluence-data-center-and-confluence-server-1333990257.html;  https://nvd.nist.gov/vuln/detail/CVE-2023-22527",CWE-74
CVE-2023-29357,Microsoft,"SharePoint Server","Microsoft SharePoint Server Privilege Escalation Vulnerability",2024-01-10,"Microsoft SharePoint Server contains an unspecified vulnerability that allows an unauthenticated attacker, who has gained access to spoofed JWT authentication tokens, to use them for executing a network attack. This attack bypasses authentication, enabling the attacker to gain administrator privileges.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-01-31,Known,"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-29357; https://nvd.nist.gov/vuln/detail/CVE-2023-29357",CWE-303
CVE-2023-23752,Joomla!,Joomla!,"Joomla! Improper Access Control Vulnerability",2024-01-08,"Joomla! contains an improper access control vulnerability that allows unauthorized access to webservice endpoints.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-01-29,Unknown,"https://developer.joomla.org/security-centre/894-20230201-core-improper-access-check-in-webservice-endpoints.html;  https://nvd.nist.gov/vuln/detail/CVE-2023-23752",CWE-284
