cveID,vendorProject,product,vulnerabilityName,dateAdded,shortDescription,requiredAction,dueDate,knownRansomwareCampaignUse,notes,cwes
CVE-2022-43769,"Hitachi Vantara","Pentaho Business Analytics (BA) Server","Hitachi Vantara Pentaho BA Server Special Element Injection Vulnerability",2025-03-03,"Hitachi Vantara Pentaho BA Server contains a special element injection vulnerability that allows an attacker to inject Spring templates into properties files, allowing for arbitrary command execution.","Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-03-24,Unknown,"https://support.pentaho.com/hc/en-us/articles/14455561548301--Resolved-Pentaho-BA-Server-Failure-to-Sanitize-Special-Elements-into-a-Different-Plane-Special-Element-Injection-Versions-before-9-4-0-1-and-9-3-0-2-including-8-3-x-Impacted-CVE-2022-43769 ; https://nvd.nist.gov/vuln/detail/CVE-2022-43769",CWE-74
CVE-2022-43939,"Hitachi Vantara","Pentaho Business Analytics (BA) Server","Hitachi Vantara Pentaho BA Server Authorization Bypass Vulnerability",2025-03-03,"Hitachi Vantara Pentaho BA Server contains a use of non-canonical URL paths for authorization decisions vulnerability that enables an attacker to bypass authorization.","Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-03-24,Unknown,"https://support.pentaho.com/hc/en-us/articles/14455394120333--Resolved-Pentaho-BA-Server-Use-of-Non-Canonical-URL-Paths-for-Authorization-Decisions-Versions-before-9-4-0-1-and-9-3-0-2-including-8-3-x-Impacted-CVE-2022-43939- ; https://nvd.nist.gov/vuln/detail/CVE-2022-43939",CWE-647
CVE-2022-48618,Apple,"Multiple Products","Apple Multiple Products Memory Corruption Vulnerability",2024-01-31,"Apple iOS, iPadOS, macOS, tvOS, and watchOS contain a time-of-check/time-of-use (TOCTOU) memory corruption vulnerability that allows an attacker with read and write capabilities to bypass Pointer Authentication.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-02-21,Unknown,"https://support.apple.com/en-us/HT213530, https://support.apple.com/en-us/HT213532, https://support.apple.com/en-us/HT213535, https://support.apple.com/en-us/HT213536;  https://nvd.nist.gov/vuln/detail/CVE-2022-48618",CWE-367
CVE-2022-42948,Fortra,"Cobalt Strike","Fortra Cobalt Strike User Interface Remote Code Execution Vulnerability",2023-03-30,"Fortra Cobalt Strike User Interface contains an unspecified vulnerability rooted in Java Swing that may allow remote code execution.","Apply updates per vendor instructions.",2023-04-20,Unknown,"https://www.cobaltstrike.com/blog/out-of-band-update-cobalt-strike-4-7-2/;  https://nvd.nist.gov/vuln/detail/CVE-2022-42948","CWE-79, CWE-116"
CVE-2022-41328,Fortinet,FortiOS,"Fortinet FortiOS Path Traversal Vulnerability",2023-03-14,"Fortinet FortiOS contains a path traversal vulnerability that may allow a local privileged attacker to read and write files via crafted CLI commands.","Apply updates per vendor instructions.",2023-04-04,Unknown,"https://www.fortiguard.com/psirt/FG-IR-22-369;  https://nvd.nist.gov/vuln/detail/CVE-2022-41328",CWE-22
CVE-2022-47986,IBM,"Aspera Faspex","IBM Aspera Faspex Code Execution Vulnerability",2023-02-21,"IBM Aspera Faspex could allow a remote attacker to execute code on the system, caused by a YAML deserialization flaw.","Apply updates per vendor instructions.",2023-03-14,Known,"https://exchange.xforce.ibmcloud.com/vulnerabilities/243512?_ga=2.189195179.1800390251.1676559338-700333034.1676325890;  https://nvd.nist.gov/vuln/detail/CVE-2022-47986",CWE-502
CVE-2022-41223,Mitel,"MiVoice Connect","Mitel MiVoice Connect Code Injection Vulnerability",2023-02-21,"The Director component in Mitel MiVoice Connect allows an authenticated attacker with internal network access to execute code within the context of the application.","Apply updates per vendor instructions.",2023-03-14,Known,"https://www.mitel.com/support/security-advisories/mitel-product-security-advisory-22-0008;  https://nvd.nist.gov/vuln/detail/CVE-2022-41223",CWE-94
CVE-2022-40765,Mitel,"MiVoice Connect","Mitel MiVoice Connect Command Injection Vulnerability",2023-02-21,"The Mitel Edge Gateway component of MiVoice Connect allows an authenticated attacker with internal network access to execute commands within the context of the system.","Apply updates per vendor instructions.",2023-03-14,Known,"https://www.mitel.com/support/security-advisories/mitel-product-security-advisory-22-0007;  https://nvd.nist.gov/vuln/detail/CVE-2022-40765",CWE-77
CVE-2022-46169,Cacti,Cacti,"Cacti Command Injection Vulnerability",2023-02-16,"Cacti contains a command injection vulnerability that allows an unauthenticated user to execute code.","Apply updates per vendor instructions.",2023-03-09,Unknown,"https://github.com/Cacti/cacti/security/advisories/GHSA-6p93-p743-35gf;  https://nvd.nist.gov/vuln/detail/CVE-2022-46169",CWE-74
CVE-2022-47966,Zoho,ManageEngine,"Zoho ManageEngine Multiple Products Remote Code Execution Vulnerability",2023-01-23,"Multiple Zoho ManageEngine products contain an unauthenticated remote code execution vulnerability due to the usage of an outdated third-party dependency, Apache Santuario.","Apply updates per vendor instructions.",2023-02-13,Known,"https://www.manageengine.com/security/advisory/CVE/cve-2022-47966.html;  https://nvd.nist.gov/vuln/detail/CVE-2022-47966",
