cveID,vendorProject,product,vulnerabilityName,dateAdded,shortDescription,requiredAction,dueDate,knownRansomwareCampaignUse,notes,cwes
CVE-2016-0165,Microsoft,Win32k,"Microsoft Win32k Privilege Escalation Vulnerability",2023-06-22,"Microsoft Win32k contains an unspecified vulnerability that allows for privilege escalation.","Apply updates per vendor instructions.",2023-07-13,Unknown,"https://learn.microsoft.com/en-us/security-updates/securitybulletins/2016/ms16-039; https://nvd.nist.gov/vuln/detail/CVE-2016-0165",CWE-264
CVE-2016-0984,Adobe,"Flash Player and AIR","Adobe Flash Player and AIR Use-After-Free Vulnerability",2022-05-25,"Use-after-free vulnerability in Adobe Flash Player and Adobe AIR allows attackers to execute code.","The impacted products are end-of-life and should be disconnected if still in use.",2022-06-15,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2016-0984,CWE-416
CVE-2016-0034,Microsoft,Silverlight,"Microsoft Silverlight Runtime Remote Code Execution Vulnerability",2022-05-25,"Microsoft Silverlight mishandles negative offsets during decoding, which allows attackers to execute remote code or cause a denial-of-service (DoS).","The impacted products are end-of-life and should be disconnected if still in use.",2022-06-15,Known,https://nvd.nist.gov/vuln/detail/CVE-2016-0034,CWE-20
CVE-2016-0162,Microsoft,"Internet Explorer","Microsoft Internet Explorer Information Disclosure Vulnerability",2022-05-24,"An information disclosure vulnerability exists when Internet Explorer does not properly handle JavaScript. The vulnerability could allow an attacker to detect specific files on the user's computer.","Apply updates per vendor instructions.",2022-06-14,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2016-0162,CWE-200
CVE-2016-0189,Microsoft,"Internet Explorer","Microsoft Internet Explorer Memory Corruption Vulnerability",2022-03-28,"The Microsoft JScript nd VBScript engines, as used in Internet Explorer and other products, allow attackers to execute remote code or cause a denial of service (memory corruption) via a crafted web site.","Apply updates per vendor instructions.",2022-04-18,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2016-0189,CWE-119
CVE-2016-0151,Microsoft,"Client-Server Run-time Subsystem (CSRSS)","Microsoft Windows CSRSS Security Feature Bypass Vulnerability",2022-03-28,"The Client-Server Run-time Subsystem (CSRSS) in Microsoft mismanages process tokens, which allows local users to gain privileges via a crafted application.","Apply updates per vendor instructions.",2022-04-18,Known,https://nvd.nist.gov/vuln/detail/CVE-2016-0151,CWE-264
CVE-2016-0040,Microsoft,Windows,"Microsoft Windows Kernel Privilege Escalation Vulnerability",2022-03-28,"The kernel in Microsoft Windows allows local users to gain privileges via a crafted application.","Apply updates per vendor instructions.",2022-04-18,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2016-0040,CWE-264
CVE-2016-0752,Rails,"Ruby on Rails","Ruby on Rails Directory Traversal Vulnerability",2022-03-25,"Directory traversal vulnerability in Action View in Ruby on Rails allows remote attackers to read arbitrary files.","Apply updates per vendor instructions.",2022-04-15,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2016-0752,CWE-22
CVE-2016-0099,Microsoft,Windows,"Microsoft Windows Secondary Logon Service Privilege Escalation Vulnerability",2022-03-03,"A privilege escalation vulnerability exists in Microsoft Windows if the Windows Secondary Logon Service fails to properly manage request handles in memory. An attacker who successfully exploited this vulnerability could run arbitrary code as an administrator.","Apply updates per vendor instructions.",2022-03-24,Known,https://nvd.nist.gov/vuln/detail/CVE-2016-0099,CWE-264
CVE-2016-0167,Microsoft,Win32k,"Microsoft Win32k Privilege Escalation Vulnerability",2021-11-03,"Microsoft Win32k contains an unspecified vulnerability that allows for privilege escalation via a crafted application","Apply updates per vendor instructions.",2022-05-03,Known,https://nvd.nist.gov/vuln/detail/CVE-2016-0167,CWE-264
CVE-2016-0185,Microsoft,Windows,"Microsoft Windows Media Center Remote Code Execution Vulnerability",2021-11-03,"Microsoft Windows Media Center contains a remote code execution vulnerability when Windows Media Center opens a specially crafted Media Center link (.mcl) file that references malicious code.","Apply updates per vendor instructions.",2022-05-03,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2016-0185,CWE-20
